store_name,order_local_timezone,order_referenceid,finished_order_status,delivery_type,order_create_date,order_create_datetime,order_accepted_datetime,order_marked_ready_for_pickup,courier_arrive_datetime,courier_pickup_datetime,order_delivered_datetime,reject_reason,order_total_gross,order_total_net
Tibi Foods - Surulere,Africa/Lagos,772107,success,delivery,23/12/29,23/06/15 10:41,23/06/15 10:41,23/06/15 11:08,23/06/15 11:15,23/06/15 11:18,23/06/15 11:27,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,773083,success,delivery,23/12/29,23/06/15 13:26,23/06/15 13:27,23/06/15 13:29,23/06/15 13:42,23/06/15 14:04,23/06/15 14:09,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,773517,success,delivery,23/12/29,23/06/15 14:17,23/06/15 14:18,23/06/15 14:25,23/06/15 14:30,23/06/15 14:34,23/06/15 15:06,,6400,6400
Tibi Foods - Surulere,Africa/Lagos,774093,success,delivery,23/12/29,23/06/15 15:33,23/06/15 15:34,23/06/15 15:39,23/06/15 15:46,23/06/15 15:58,23/06/15 16:19,,5200,5200
Tibi Foods - Surulere,Africa/Lagos,774146,success,delivery,23/12/29,23/06/15 15:39,23/06/15 15:40,23/06/15 15:43,23/06/15 15:46,23/06/15 15:58,23/06/15 16:25,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,774661,success,delivery,23/12/29,23/06/15 17:17,23/06/15 17:18,23/06/15 17:21,23/06/15 17:21,23/06/15 17:33,23/06/15 17:51,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,775365,success,delivery,23/12/29,23/06/15 19:24,23/06/15 19:25,23/06/15 19:29,23/06/15 19:56,23/06/15 19:57,23/06/15 20:40,,4300,4300
Tibi Foods - Surulere,Africa/Lagos,775450,success,delivery,23/12/29,23/06/15 19:38,23/06/15 19:38,23/06/15 19:40,23/06/15 19:41,23/06/15 19:50,23/06/15 20:23,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,775550,success,delivery,23/12/29,23/06/15 19:51,23/06/15 19:51,23/06/15 20:02,23/06/15 20:49,23/06/15 20:52,23/06/15 21:24,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,775759,success,delivery,23/12/29,23/06/15 20:31,23/06/15 20:32,23/06/15 20:50,23/06/15 20:50,23/06/15 20:52,23/06/15 21:16,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,776456,success,delivery,23/12/29,23/06/16 10:55,23/06/16 10:55,23/06/16 11:23,23/06/16 11:26,23/06/16 11:32,23/06/16 11:45,,6300,6300
Tibi Foods - Surulere,Africa/Lagos,777951,success,delivery,23/12/29,23/06/16 14:31,23/06/16 14:35,23/06/16 14:56,23/06/16 14:57,23/06/16 15:03,23/06/16 15:17,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,782192,success,delivery,23/12/29,23/06/17 13:24,23/06/17 13:26,23/06/17 14:12,23/06/17 14:24,23/06/17 14:24,23/06/17 14:44,,7000,7000
Tibi Foods - Surulere,Africa/Lagos,783950,success,delivery,23/12/29,23/06/17 18:06,23/06/17 18:07,23/06/17 18:09,23/06/17 18:14,23/06/17 18:27,23/06/17 18:41,,3100,3100
Tibi Foods - Surulere,Africa/Lagos,784332,success,delivery,23/12/29,23/06/17 19:11,23/06/17 19:11,23/06/17 20:03,23/06/17 20:04,23/06/17 20:05,23/06/17 20:16,,6000,6000
Tibi Foods - Surulere,Africa/Lagos,784417,success,delivery,23/12/29,23/06/17 19:24,23/06/17 19:24,23/06/17 19:47,23/06/17 19:49,23/06/17 20:00,23/06/17 20:32,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,784892,success,delivery,23/12/29,23/06/17 20:58,23/06/17 21:00,23/06/17 21:20,23/06/17 21:25,23/06/17 21:38,23/06/17 22:01,,8600,8600
Tibi Foods - Surulere,Africa/Lagos,786517,success,delivery,23/12/29,23/06/18 14:16,23/06/18 14:21,23/06/18 14:26,23/06/18 14:35,23/06/18 14:40,23/06/18 14:52,,4000,4000
Tibi Foods - Surulere,Africa/Lagos,786592,success,delivery,23/12/29,23/06/18 14:32,23/06/18 14:33,23/06/18 14:37,23/06/18 14:48,23/06/18 14:54,23/06/18 15:10,,4900,4900
Tibi Foods - Surulere,Africa/Lagos,786611,success,delivery,23/12/29,23/06/18 14:35,23/06/18 14:36,23/06/18 14:43,23/06/18 14:45,23/06/18 14:51,23/06/18 14:56,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,786813,success,delivery,23/12/29,23/06/18 15:13,23/06/18 15:14,23/06/18 15:22,23/06/18 15:37,23/06/18 16:00,23/06/18 16:21,,7000,7000
Tibi Foods - Surulere,Africa/Lagos,786847,success,delivery,23/12/29,23/06/18 15:20,23/06/18 15:21,23/06/18 15:38,23/06/18 15:45,23/06/18 16:00,23/06/18 16:12,,6900,6900
Tibi Foods - Surulere,Africa/Lagos,787239,success,delivery,23/12/29,23/06/18 16:26,23/06/18 16:29,23/06/18 16:46,23/06/18 16:51,23/06/18 16:54,23/06/18 16:58,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,787276,success,delivery,23/12/29,23/06/18 16:35,23/06/18 16:35,23/06/18 16:56,23/06/18 16:56,23/06/18 17:05,23/06/18 17:26,,6800,6800
Tibi Foods - Surulere,Africa/Lagos,787561,success,delivery,23/12/29,23/06/18 17:30,23/06/18 17:33,23/06/18 17:39,23/06/18 17:50,23/06/18 17:54,23/06/18 18:13,,4700,4700
Tibi Foods - Surulere,Africa/Lagos,788180,success,delivery,23/12/29,23/06/18 19:35,23/06/18 19:37,23/06/18 19:59,23/06/18 20:02,23/06/18 20:04,23/06/18 20:22,,6500,6500
Tibi Foods - Surulere,Africa/Lagos,788260,success,delivery,23/12/29,23/06/18 19:50,23/06/18 19:54,23/06/18 20:02,23/06/18 20:05,23/06/18 20:13,23/06/18 20:19,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,788606,success,delivery,23/12/29,23/06/19 9:52,23/06/19 9:54,23/06/19 10:07,23/06/19 10:12,23/06/19 10:21,23/06/19 10:42,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,789284,success,delivery,23/12/29,23/06/19 12:02,23/06/19 12:03,23/06/19 12:13,23/06/19 12:15,23/06/19 12:32,23/06/19 12:49,,9400,9400
Tibi Foods - Surulere,Africa/Lagos,789692,success,delivery,23/12/29,23/06/19 13:03,23/06/19 13:04,23/06/19 13:20,23/06/19 13:22,23/06/19 13:29,23/06/19 13:48,,5500,5500
Tibi Foods - Surulere,Africa/Lagos,789718,success,delivery,23/12/29,23/06/19 13:07,23/06/19 13:08,23/06/19 13:26,23/06/19 13:31,23/06/19 13:42,23/06/19 13:48,,7500,7500
Tibi Foods - Surulere,Africa/Lagos,791202,success,delivery,23/12/29,23/06/19 16:51,23/06/19 16:53,23/06/19 17:11,23/06/19 17:14,23/06/19 17:26,23/06/19 17:43,,8200,8200
Tibi Foods - Surulere,Africa/Lagos,793968,success,delivery,23/12/29,23/06/20 12:57,23/06/20 13:02,23/06/20 13:29,23/06/20 13:33,23/06/20 13:53,23/06/20 14:01,,5000,5000
Tibi Foods - Surulere,Africa/Lagos,795240,success,delivery,23/12/29,23/06/20 15:53,23/06/20 15:54,23/06/20 16:17,23/06/20 16:25,23/06/20 16:31,23/06/20 16:58,,2200,2200
Tibi Foods - Surulere,Africa/Lagos,795767,success,delivery,23/12/29,23/06/20 17:22,23/06/20 17:23,23/06/20 17:33,23/06/20 17:39,23/06/20 17:45,23/06/20 17:57,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,795957,success,delivery,23/12/29,23/06/20 17:53,23/06/20 17:54,23/06/20 18:17,23/06/20 18:22,23/06/20 18:35,23/06/20 18:42,,4700,4700
Tibi Foods - Surulere,Africa/Lagos,796517,success,delivery,23/12/29,23/06/20 19:26,23/06/20 19:26,23/06/20 19:34,23/06/20 19:41,23/06/20 19:41,23/06/20 19:54,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,797267,success,delivery,23/12/29,23/06/21 10:00,23/06/21 10:01,23/06/21 10:29,23/06/21 10:48,23/06/21 10:49,23/06/21 11:08,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,797794,success,delivery,23/12/29,23/06/21 11:32,23/06/21 11:51,23/06/21 12:02,23/06/21 12:13,23/06/21 12:18,23/06/21 12:27,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,799001,success,delivery,23/12/29,23/06/21 14:03,23/06/21 14:05,23/06/21 14:20,23/06/21 14:22,23/06/21 14:31,23/06/21 14:49,,7500,7500
Tibi Foods - Surulere,Africa/Lagos,799308,success,delivery,23/12/29,23/06/21 14:48,23/06/21 14:49,23/06/21 15:11,23/06/21 15:19,23/06/21 15:33,23/06/21 15:49,,4500,4500
Tibi Foods - Surulere,Africa/Lagos,800703,success,delivery,23/12/29,23/06/21 18:29,23/06/21 18:30,23/06/21 18:45,23/06/21 18:58,23/06/21 19:05,23/06/21 19:23,,1600,1600
Tibi Foods - Surulere,Africa/Lagos,800968,success,delivery,23/12/29,23/06/21 19:18,23/06/21 19:19,23/06/21 19:37,23/06/21 19:40,23/06/21 19:46,23/06/21 19:55,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,801237,success,delivery,23/12/29,23/06/21 20:06,23/06/21 20:12,23/06/21 20:20,23/06/21 20:36,23/06/21 20:37,23/06/21 20:50,,4500,4500
Tibi Foods - Surulere,Africa/Lagos,802159,success,delivery,23/12/29,23/06/22 11:09,23/06/22 11:12,23/06/22 11:19,23/06/22 11:20,23/06/22 11:31,23/06/22 11:35,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,802564,success,delivery,23/12/29,23/06/22 12:06,23/06/22 12:08,23/06/22 12:26,23/06/22 12:30,23/06/22 12:51,23/06/22 13:09,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,803206,success,delivery,23/12/29,23/06/22 13:16,23/06/22 13:19,23/06/22 13:47,23/06/22 13:51,23/06/22 13:54,23/06/22 14:02,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,803356,success,delivery,23/12/29,23/06/22 13:35,23/06/22 13:36,23/06/22 14:02,23/06/22 14:02,23/06/22 14:26,23/06/22 14:31,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,804323,success,delivery,23/12/28,23/06/22 15:48,23/06/22 15:55,23/06/22 16:09,23/06/22 16:14,23/06/22 16:20,23/06/22 16:40,,2200,2200
Tibi Foods - Surulere,Africa/Lagos,806371,success,delivery,23/12/28,23/06/23 9:04,23/06/23 9:07,23/06/23 9:35,23/06/23 9:43,23/06/23 10:05,23/06/23 10:36,,4500,4500
Tibi Foods - Surulere,Africa/Lagos,806378,success,delivery,23/12/28,23/06/23 9:09,23/06/23 9:24,23/06/23 9:50,23/06/23 9:52,23/06/23 10:08,23/06/23 10:16,,3400,3400
